Question_ID,Exam,Subject,Topic,Difficulty,Question_EN,Question_BN,Opt1_EN,Opt2_EN,Opt3_EN,Opt4_EN,Opt1_BN,Opt2_BN,Opt3_BN,Opt4_BN,Correct_Answer,Explanation_EN,Explanation_BN
MATH-001,JEE,Mathematics,Combinatorics & Number Theory,Hard,Let n = 2³ × 3⁴ × 5². The number of divisors of n which are of the form 4k + 2 (k ≥ 0) is:,ধরি n = 2³ × 3⁴ × 5²। n-এর এমন উৎপাদকের (divisors) সংখ্যা নির্ণয় করো যা 4k + 2 (k ≥ 0) আকারের:,15,18,12,9,15,18,12,9,1,"Any divisor of the form 4k + 2 = 2(2k + 1) is an even number containing exactly one factor of 2 (i.e., 2¹) and an odd part formed by the factors of 3⁴ × 5². Number of odd factors = (4 + 1)(2 + 1) = 5 × 3 = 15. Hence, there are 15 divisors of the form 4k + 2.",4k + 2 = 2(2k + 1) আকারের উৎপাদক হলো বিজোড় সংখ্যাকে ২ দ্বারা গুণফল (অর্থাৎ ২-এর ঘাত ঠিক ১ হবে)। 3⁴ × 5²-এর মোট উৎপাদক সংখ্যা = (৪ + ১)(২ + ১) = ৫ × ৩ = ১৫।
MATH-002,JEE,Mathematics,Limits & Infinite Products,Hard,The value of lim (n -> ∞) ∏_{r=1}^{n} (1 + 1/(r(r+2))) is equal to:,lim (n -> ∞) ∏_{r=1}^{n} (1 + 1/(r(r+2))) -এর মান কত?,2,3,3/2,4/3,2,3,3/2,4/3,1,"1 + 1/(r(r+2)) = (r² + 2r + 1)/(r(r+2)) = (r+1)² / [r(r+2)] = [(r+1)/r] × [(r+1)/(r+2)]. Expanding the telescoping product from r=1 to n: P_n = (2/1 × 3/2 × ... × (n+1)/n) × (2/3 × 3/4 × ... × (n+1)/(n+2)) = (n+1) × [2/(n+2)] = 2(n+1)/(n+2). As n -> ∞, the limit is 2.",১ + ১/(r(r+২)) = (r+১)² / [r(r+২)] = [(r+১)/r] × [(r+১)/(r+২)]। টেলিস্কোপিং গুণফল নিলে পাওয়া যায় ২(n+১)/(n+২)। n -> ∞ হলে সীমা = ২।
MATH-003,JEE,Mathematics,Functional Equations,Hard,"If f(x) is a continuous function satisfying f(x + y) = f(x) + f(y) + 3xy(x + y) for all x, y ∈ ℝ, and lim (x -> 0) f(x)/x = 2, then f(3) is equal to:","যদি f(x) একটি অবিচ্ছিন্ন অপেক্ষক হয় যা f(x + y) = f(x) + f(y) + 3xy(x + y) সিদ্ধ করে এবং lim (x -> 0) f(x)/x = 2 হয়, তবে f(3) এর মান:",33,27,35,30,33,27,35,30,1,"Let g(x) = f(x) - x³. Then g(x+y) = f(x+y) - (x+y)³ = [f(x) + f(y) + 3xy(x+y)] - [x³ + y³ + 3xy(x+y)] = (f(x) - x³) + (f(y) - y³) = g(x) + g(y). Thus g(x) = kx. Given lim(x->0) f(x)/x = 2 => lim(x->0) [g(x) + x³]/x = k = 2. Hence f(x) = x³ + 2x. Therefore, f(3) = 3³ + 2(3) = 27 + 6 = 33.","g(x) = f(x) - x³ ধরলে g(x+y) = g(x) + g(y) পাওয়া যায়, অর্থাৎ g(x) = 2x। সুতরাং f(x) = x³ + 2x। অতএব f(3) = ৩³ + ২(৩) = ২৭ + ৬ = ৩৩।"
MATH-004,JEE,Mathematics,Trigonometric Inequations,Medium,"The number of solutions of the inequation 2 sin²(x) - sin(x) - 1 ≤ 0 in the interval [0, 2π] is given by the length of the interval of solution, which is:","[0, 2π] ব্যবধিতে 2 sin²(x) - sin(x) - 1 ≤ 0 অসমীকরণটির সমাধান অঞ্চলের মোট বিস্তার (দৈর্ঘ্য) কত?",4π/3,π,5π/6,3π/2,4π/3,π,5π/6,3π/2,1,"Factorizing: (2 sin x + 1)(sin x - 1) ≤ 0. Since (sin x - 1) ≤ 0 for all real x, the inequality holds when 2 sin x + 1 ≥ 0, which means sin x ≥ -1/2. In [0, 2π], sin x ≥ -1/2 on [0, 7π/6] ∪ [11π/6, 2π]. Total length = (7π/6 - 0) + (2π - 11π/6) = 7π/6 + π/6 = 8π/6 = 4π/3.","(2 sin x + 1)(sin x - 1) ≤ 0। যেহেতু sin x - 1 সর্বদাই ≤ 0, তাই 2 sin x + 1 ≥ 0 হতে হবে অর্থাৎ sin x ≥ -1/2। [0, 2π] ব্যবধিতে এর দৈর্ঘ্য = ৭π/৬ + π/৬ = ৮π/৬ = ৪π/৩।"
MATH-005,JEE,Mathematics,Definite Integrals & Properties,Hard,The value of the definite integral I = ∫₀^{π/2} (sin³ x)/(sin³ x + cos³ x) dx is:,I = ∫₀^{π/2} (sin³ x)/(sin³ x + cos³ x) dx নির্দিষ্ট সমাকলটির মান কত?,π/4,π/2,π,0,π/4,π/2,π,0,1,Using King's property ∫₀ᵃ f(x) dx = ∫₀ᵃ f(a - x) dx: I = ∫₀^{π/2} (cos³ x)/(cos³ x + sin³ x) dx. Adding the two equations: 2I = ∫₀^{π/2} 1 dx = [x]₀^{π/2} = π/2 => I = π/4.,King's property ব্যবহার করে: 2I = ∫₀^{π/2} 1 dx = π/2 => I = π/4।
MATH-006,JEE,Mathematics,Matrices & Determinants,Medium,"If A is a 3 × 3 non-singular matrix such that A² = 3A - 2I, then A⁻¹ is equal to:","যদি A একটি ৩ × ৩ বর্গ ম্যাট্রিক্স হয় যাতে A² = 3A - 2I, তবে A⁻¹ সমান:",(3I - A)/2,(A - 3I)/2,3I + A,2I - A,(3I - A)/2,(A - 3I)/2,3I + A,2I - A,1,Rearranging A² - 3A = -2I => 2I = 3A - A² = A(3I - A). Multiplying both sides by A⁻¹ gives 2 A⁻¹ = 3I - A => A⁻¹ = (3I - A)/2.,2I = 3A - A² = A(3I - A)। উভয়পক্ষে A⁻¹ গুণ করে পাওয়া যায় A⁻¹ = (3I - A)/2।
MATH-007,JEE,Mathematics,Probability,Medium,"Two fair dice are thrown simultaneously. The conditional probability that the sum of the numbers is 8, given that the sum is an even number, is:",দুটি নিরপেক্ষ ছক্কা একসাথে ছোড়া হলো। প্রাপ্ত সংখ্যা দুটির যোগফল জোড় সংখ্যা হওয়ার শর্তে যোগফল ৮ হওয়ার শর্তাধীন সম্ভাবনা (Conditional Probability) কত?,5/18,5/36,1/6,1/4,5/18,5/36,1/6,1/4,1,"Total outcomes with an even sum = 18 (sums 2, 4, 6, 8, 10, 12). Outcomes giving sum 8: {(2,6), (3,5), (4,4), (5,3), (6,2)} = 5 outcomes. Hence P(Sum=8 | Even Sum) = 5/18.","জোড় যোগফলের মোট ঘটনা = ১৮। ৮ যোগফল আসার অনুকূল ঘটনা = ৫টি {(২,৬), (৩,৫), (৪,৪), (৫,৩), (৬,২)}। অতএব নির্ণেয় সম্ভাবনা = ৫/১৮।"
CHEM-001,JEE,Chemistry,Ionic Equilibrium,Medium,"During the titration of a weak acid (HA) with a strong base (NaOH), the pH of the solution at the half-equivalence point is equal to:",একটি মৃদু অ্যাসিড (HA) ও তীব্র ক্ষারের (NaOH) টাইট্রেশনে অর্ধ-প্রশমন বিন্দুতে (half-equivalence point) দ্রবণের pH কত হবে?,pKa,pKb,7.0,pKa + 1,pKa,pKb,7.0,pKa + 1,1,"By Henderson-Hasselbalch equation: pH = pKa + log([A⁻]/[HA]). At the half-equivalence point, exactly half the weak acid is converted to its conjugate base, so [A⁻] = [HA], which gives log(1) = 0, hence pH = pKa.","হেন্ডারসন সমীকরণ অনুসারে: pH = pKa + log([A⁻]/[HA])। অর্ধ-প্রশমন বিন্দুতে [A⁻] = [HA], তাই pH = pKa।"
CHEM-002,JEE,Chemistry,Stereochemistry,Hard,The total number of optical isomers possible for 1-bromo-2-methylcyclobutane is:,1-bromo-2-methylcyclobutane যৌগটির জন্য সম্ভাব্য মোট আলোকীয় সমাবয়বের (optical isomers) সংখ্যা কত?,4,2,3,6,4,2,3,6,1,1-bromo-2-methylcyclobutane has 2 asymmetric chiral carbons (C1 and C2) and lacks any plane or centre of symmetry. The number of d- and l- enantiomeric forms is 2² = 4 with 0 meso forms. Hence total optical isomers = 4.,যৌগটিতে ২টি কাইরাল কার্বন (C1 ও C2) রয়েছে এবং কোনো প্রতিসাম্য উপাদান নেই। তাই মোট আলোক সক্রিয় সমাবয়ব = ২² = ৪টি।
CHEM-003,JEE,Chemistry,p-Block Elements,Medium,Which of the following hydride sequences correctly represents the decreasing order of boiling points?,নিচের কোন ক্রমটি হাইড্রাইডসমূহের স্ফুটনাঙ্কের সঠিক অধঃক্রম প্রকাশ করে?,H₂O > SbH₃ > NH₃ > AsH₃ > PH₃,H₂O > NH₃ > SbH₃ > AsH₃ > PH₃,SbH₃ > H₂O > NH₃ > AsH₃ > PH₃,H₂O > SbH₃ > AsH₃ > PH₃ > NH₃,H₂O > SbH₃ > NH₃ > AsH₃ > PH₃,H₂O > NH₃ > SbH₃ > AsH₃ > PH₃,SbH₃ > H₂O > NH₃ > AsH₃ > PH₃,H₂O > SbH₃ > AsH₃ > PH₃ > NH₃,1,"H₂O has the highest boiling point due to extensive intermolecular hydrogen bonding. NH₃ also forms H-bonds, making its boiling point higher than PH₃ and AsH₃, while SbH₃ has higher van der Waals forces due to large molecular size. Hence: H₂O > SbH₃ > NH₃ > AsH₃ > PH₃.",আন্তঃআণবিক হাইড্রোজেন বন্ধনের কারণে পানির স্ফুটনাঙ্ক সর্বাধিক। সঠিক ক্রম: H₂O > SbH₃ > NH₃ > AsH₃ > PH₃।
